#	CT  	    X	           Y	       	   Z
1	4	    -14.4	   54.4		   -5.4
2	4	    -14.4	   44.5		   1.8
3	4	    -14.4	   34.5		   -5.4
4	4	    -14.4	   24.8		   1.8
5	4	    -14.4	   14.8		   -5.4
6	4	    -14.4	   5.1		   1.8
7	3	    -14.4	   -9.9		   -5.4
8	3	    -14.4	   -29.4		   1.8
9	3	    -14.4	   -49.4		   -5.4
10	4	    14.4	   54.4		   -1.8
11	4	    14.4	   44.5		   5.4
12	4	    14.4	   34.5		   -1.8
13	4	    14.4	   24.8		   5.4
14	4	    14.4	   14.8		  -1.8
15	4	    14.4	   5.1		   5.4
16	3	    14.4	   -9.9		   -1.8
17	3	    14.4	   -29.4		   5.4
18	3	    14.4	   -49.4		   -1.8
