#	CT  	    X	           Y	       	   Z
1	3	    -28.8	   49.4		   -5.4
2	3	    -28.8	   29.4		   1.8
3	3	    -28.8	   9.9		   -5.4
4	4	    -28.8	   -5.1		   1.8
5	4	    -28.8	   -14.8		   -5.4
6	4	    -28.8	   -24.8		   1.8
7	4	    -28.8	   -34.5		   -5.4
8	4	    -28.8	   -44.5		   1.8
9	4	    -28.8	   -54.4		   -5.4
10	3	    0.0	   49.4		   -1.8
11	3	    0.0	   29.4		   5.4
12	3	    0.0	   9.9		   -1.8
13	4	    0.0	   -5.1		   5.4
14	4	    0.0	   -14.8		  -1.8 
15	4	    0.0	   -24.8		   5.4
16	4	    0.0	   -34.5		   -1.8
17	4	    0.0	   -44.5		   5.4
18	4	    0.0	   -54.4		   -1.8
19	3	    28.8	   49.4		   -5.4
20	3	    28.8	   29.4		   1.8
21	3	    28.8	   9.9		   -5.4
22	4	    28.8	   -5.1		   1.8
23	4	    28.8	   -14.8		   -5.4
24	4	    28.8	   -24.8		   1.8
25	4	    28.8	   -34.5		   -5.4
26	4	    28.8	   -44.5		   1.8
27	4	    28.8	   -54.4		   -5.4
