#	CT  	    X	           Y	       	   Z
1	3	    -14.4	   49.4		   -5.4
2	3	    -14.4	   29.4		   1.8
3	3	    -14.4	   9.9		   -5.4
4	4	    -14.4	   -5.1		   1.8
5	4	    -14.4	   -14.8		   -5.4
6	4	    -14.4	   -24.8		   1.8
7	4	    -14.4	   -34.5		   -5.4
8	4	    -14.4	   -44.5		   1.8
9	4	    -14.4	   -54.4		   -5.4
10	3	    14.4	   49.4		   -1.8
11	3	    14.4	   29.4		   5.4
12	3	    14.4	   9.9		   -1.8
13	4	    14.4	   -5.1		   5.4
14	4	    14.4	   -14.8		  -1.8 
15	4	    14.4	   -24.8		   5.4
16	4	    14.4	   -34.5		   -1.8
17	4	    14.4	   -44.5		   5.4
18	4	    14.4	   -54.4		   -1.8
