#     CT        X            Y        Z
1     3		-86.15	     20.0     -5.4 
2     3		-86.15	     0.0      1.8
3     3		-86.15	     -20.0     -5.4 
4     3		-57.35	     20.0      -1.8
5     3		-57.35	     0.0       5.4
6     3		-57.35	     -20.0     -1.8
7     3		-28.85	     20.0     -5.4 
8     3		-28.85	     0.0      1.8
9     3		-28.85	     -20.0     -5.4 
10   3		-0.05	     20.0      -1.8
11   3		-0.05	     0.0       5.4
12   3		-0.05	     -20.0     -1.8
13   4		28.55	     25.0      1.8
14   4		28.55	     15.0      -5.4
15   4		28.55	     5.0       1.8
16   4		28.55	     -5.0	-5.4
17   4		28.55	     -15.0	1.8
18   4		28.55	     -25.0	-5.4
19   4		57.35	     25.0	5.4
20   4		57.35	     15.0	-1.8
21   4		57.35	     5.0	5.4
22   4		57.35	     -5.0	-1.8
23   4		57.35	     -15.0	5.4
24   4		57.35	     -25.0	-1.8
25   4		86.15	     25.0      1.8
26   4		86.15	     15.0      -5.4
27   4		86.15	     5.0       1.8
28   4		86.15	     -5.0	-5.4
29   4		86.15	     -15.0	1.8
30   4		86.15	     -25.0	-5.4
