#	CT  	    X	           Y	       	   Z
1	4	    -28.8	   54.4		   -5.4
2	4	    -28.8	   44.5		   1.8
3	4	    -28.8	   34.5		   -5.4
4	4	    -28.8	   24.8		   1.8
5	4	    -28.8	   14.8		   -5.4
6	4	    -28.8	   5.1		   1.8
7	3	    -28.8	   -9.9		   -5.4
8	3	    -28.8	   -29.4		   1.8
9	3	    -28.8	   -49.4		   -5.4
10	4	    0.0	   54.4		   -1.8
11	4	    0.0	   44.5		   5.4
12	4	    0.0	   34.5		   -1.8
13	4	    0.0	   24.8		   5.4
14	4	    0.0	   14.8		  -1.8
15	4	    0.0	   5.1		   5.4
16	3	    0.0	   -9.9		   -1.8
17	3	    0.0	   -29.4		   5.4
18	3	    0.0	   -49.4		   -1.8
19	4	    28.8	   54.4		   -5.4
20	4	    28.8	   44.5		   1.8
21	4	    28.8	   34.5		   -5.4
22	4	    28.8	   24.8		   1.8
23	4	    28.8	   14.8		   -5.4
24	4	    28.8	   5.1		   1.8
25	3	    28.8	   -9.9		   -5.4
26	3	    28.8	   -29.4		   1.8
27	3	    28.8	   -49.4		   -5.4
